CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2
-0.18,-0.15,-0.09,0.070871981,0.146996228,0.3484,-0.0357,-0.0218,-0.324489262,0.218549841,0.201,-0.18017,0.0277,0.157830836,0.320620257,-0.01775,0.06064,0.027
-0.17,-0.18,-0.15,0.110860693,0.153944688,0.503,0.06223,-0.0208,0.070871981,0.146996228,0.3484,-0.0357,-0.0218,-0.324489262,0.218549841,0.201,-0.18017,0.0277
-0.12,-0.17,-0.18,0.103693919,0.155893666,0.6598,-0.06254,0.0575,0.110860693,0.153944688,0.503,0.06223,-0.0208,0.070871981,0.146996228,0.3484,-0.0357,-0.0218
-0.07,-0.12,-0.17,-0.247784933,0.128072389,0.7888,-0.03941,0.0214,0.103693919,0.155893666,0.6598,-0.06254,0.0575,0.110860693,0.153944688,0.503,0.06223,-0.0208
-0.05,-0.07,-0.12,-0.115050929,0.091436602,0.881,0.07851,-0.0377,-0.247784933,0.128072389,0.7888,-0.03941,0.0214,0.103693919,0.155893666,0.6598,-0.06254,0.0575
-0.03,-0.05,-0.07,0.058008479,0.098978567,0.9809,0.31108,0.0953,-0.115050929,0.091436602,0.881,0.07851,-0.0377,-0.247784933,0.128072389,0.7888,-0.03941,0.0214
-0.07,-0.03,-0.05,-0.268712649,0.071572079,1.0532,0.19066,-0.0304,0.058008479,0.098978567,0.9809,0.31108,0.0953,-0.115050929,0.091436602,0.881,0.07851,-0.0377
-0.09,-0.07,-0.03,-0.135960166,0.02434065,1.0778,0.20659,0.0067,-0.268712649,0.071572079,1.0532,0.19066,-0.0304,0.058008479,0.098978567,0.9809,0.31108,0.0953
-0.11,-0.09,-0.07,0.272076715,-0.018700216,1.0589,0.15066,0.0201,-0.135960166,0.02434065,1.0778,0.20659,0.0067,-0.268712649,0.071572079,1.0532,0.19066,-0.0304
-0.11,-0.11,-0.09,-0.090753588,-0.028205353,1.0304,0.30149,0.0217,0.272076715,-0.018700216,1.0589,0.15066,0.0201,-0.135960166,0.02434065,1.0778,0.20659,0.0067
-0.07,-0.11,-0.11,-0.195043505,-0.047323688,0.9826,0.21093,-0.0233,-0.090753588,-0.028205353,1.0304,0.30149,0.0217,0.272076715,-0.018700216,1.0589,0.15066,0.0201
-0.03,-0.07,-0.11,0.080010342,-0.124256976,0.8572,0.16613,0.0412,-0.195043505,-0.047323688,0.9826,0.21093,-0.0233,-0.090753588,-0.028205353,1.0304,0.30149,0.0217
0,-0.03,-0.07,-0.129648891,-0.136622954,0.7195,-0.07837,-0.0249,0.080010342,-0.124256976,0.8572,0.16613,0.0412,-0.195043505,-0.047323688,0.9826,0.21093,-0.0233
