CLI,CLI_t-1,CLI_t-2,y1,y1_t-1,y1_t-2,y2,y2_t-1,y2_t-2,y3,y3_t-1,y3_t-2,y4,y4_t-1,y4_t-2,y5,y5_t-1,y5_t-2
0.04,0.02,-0.03,0.164348127,0.095266704,-0.057393678,-0.14198,-0.30596,-0.40089,0.25014,-0.29742,-0.13064,0.0276,0.004,-0.0355,-0.018901898,0.009175503,0.045505656
0,0.04,0.02,0.09641046,0.164348127,0.095266704,-0.04566,-0.14198,-0.30596,-0.01562,0.25014,-0.29742,0.0258,0.0276,0.004,0.021724801,-0.018901898,0.009175503
-0.13,0,0.04,0.004772065,0.09641046,0.164348127,-0.04089,-0.04566,-0.14198,-0.54583,-0.01562,0.25014,0.0809,0.0258,0.0276,0.059970558,0.021724801,-0.018901898
-0.27,-0.13,0,-0.099780544,0.004772065,0.09641046,-0.14058,-0.04089,-0.04566,-0.05822,-0.54583,-0.01562,-0.0381,0.0809,0.0258,-0.036228025,0.059970558,0.021724801
-0.36,-0.27,-0.13,-0.195896875,-0.099780544,0.004772065,-0.33601,-0.14058,-0.04089,0.15167,-0.05822,-0.54583,-0.0508,-0.0381,0.0809,-0.061888473,-0.036228025,0.059970558
-0.31,-0.36,-0.27,-0.221237106,-0.195896875,-0.099780544,-0.55626,-0.33601,-0.14058,0.20975,0.15167,-0.05822,-0.071,-0.0508,-0.0381,-0.040579828,-0.061888473,-0.036228025
-0.19,-0.31,-0.36,-0.190358951,-0.221237106,-0.195896875,-0.74538,-0.55626,-0.33601,-0.37491,0.20975,0.15167,0.0029,-0.071,-0.0508,0.04620282,-0.040579828,-0.061888473
-0.04,-0.19,-0.31,-0.063644491,-0.190358951,-0.221237106,-0.80853,-0.74538,-0.55626,-1.64382,-0.37491,0.20975,0.0593,0.0029,-0.071,0.054918013,0.04620282,-0.040579828
0.1,-0.04,-0.19,0.129564274,-0.063644491,-0.190358951,-0.67993,-0.80853,-0.74538,-1.12636,-1.64382,-0.37491,-0.0499,0.0593,0.0029,0.048636848,0.054918013,0.04620282
0.18,0.1,-0.04,0.151908215,0.129564274,-0.063644491,-0.52894,-0.67993,-0.80853,-0.03579,-1.12636,-1.64382,0.0417,-0.0499,0.0593,0.023991122,0.048636848,0.054918013
0.21,0.18,0.1,0.070206832,0.151908215,0.129564274,-0.45908,-0.52894,-0.67993,-0.24769,-0.03579,-1.12636,0.0274,0.0417,-0.0499,0.004422395,0.023991122,0.048636848
0.22,0.21,0.18,-0.001255773,0.070206832,0.151908215,-0.46033,-0.45908,-0.52894,-0.75277,-0.24769,-0.03579,0.0408,0.0274,0.0417,0.017876169,0.004422395,0.023991122
0.22,0.22,0.21,-0.008238261,-0.001255773,0.070206832,-0.46853,-0.46033,-0.45908,-0.19893,-0.75277,-0.24769,0.0312,0.0408,0.0274,0.020003311,0.017876169,0.004422395
0.2,0.22,0.22,-0.025733866,-0.008238261,-0.001255773,-0.49414,-0.46853,-0.46033,-0.00814,-0.19893,-0.75277,0.0458,0.0312,0.0408,-0.020549827,0.020003311,0.017876169
0.19,0.2,0.22,-0.112800675,-0.025733866,-0.008238261,-0.60632,-0.49414,-0.46853,0.02048,-0.00814,-0.19893,0.0175,0.0458,0.0312,-0.002583112,-0.020549827,0.020003311
0.16,0.19,0.2,-0.157236156,-0.112800675,-0.025733866,-0.76248,-0.60632,-0.49414,-0.09257,0.02048,-0.00814,-0.0183,0.0175,0.0458,0.015750158,-0.002583112,-0.020549827
0.16,0.16,0.19,-0.127008421,-0.157236156,-0.112800675,-0.88844,-0.76248,-0.60632,0.05185,-0.09257,0.02048,-0.0442,-0.0183,0.0175,-0.008336239,0.015750158,-0.002583112
0.15,0.16,0.16,-0.047876713,-0.127008421,-0.157236156,-0.93588,-0.88844,-0.76248,-0.08949,0.05185,-0.09257,0.0721,-0.0442,-0.0183,0.059123437,-0.008336239,0.015750158
0.11,0.15,0.16,0.022356756,-0.047876713,-0.127008421,-0.91373,-0.93588,-0.88844,0.04581,-0.08949,0.05185,0.0263,0.0721,-0.0442,0.002875756,0.059123437,-0.008336239
0.05,0.11,0.15,0.094468963,0.022356756,-0.047876713,-0.82008,-0.91373,-0.93588,-0.14625,0.04581,-0.08949,-0.0603,0.0263,0.0721,0.032096895,0.002875756,0.059123437
0,0.05,0.11,0.176482755,0.094468963,0.022356756,-0.64489,-0.82008,-0.91373,-0.20602,-0.14625,0.04581,0.0434,-0.0603,0.0263,-0.004339273,0.032096895,0.002875756
-0.05,0,0.05,0.308606567,0.176482755,0.094468963,-0.3378,-0.64489,-0.82008,-0.22479,-0.20602,-0.14625,-0.0116,0.0434,-0.0603,0.064948883,-0.004339273,0.032096895
